Variable__c,Value__c,Start_Date__c,Start_Date_Filter__c,Period__c,Is_Test_Record__c,View_Type__c
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,67647,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,457324,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,209359,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,315000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,111562,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,60000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,114581.25,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,126782,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,40000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,75000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,50000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,13750,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,25000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,32800,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,50750,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,14999,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,40000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,30000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,20000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,10000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,100000,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,0,2016-05-12,7,Quarter,TRUE,Waterfall
A_StartPipe,45000,2016-05-12,7,Quarter,TRUE,Waterfall
